payload_size,structure,rest_O2,grpc_O2
32,flat,2.6493506493506493,2.0657894736842106
64,flat,2.1743119266055047,1.75
128,flat,1.739884393063584,1.4709302325581395
512,flat,1.229802513464991,1.1436170212765957
1024,flat,1.1206735266604304,1.075278810408922
8192,flat,1.0156610416413743,1.009825327510917
32,nested,1.735632183908046,2.265625
64,nested,1.380952380952381,1.6328125
128,nested,1.186588921282799,1.3151750972762646
512,nested,1.0471836137527433,1.0787172011661808
1024,nested,1.032074780058651,1.0388915896937287
8192,nested,1.0039135808120108,1.0062572140210193
32,wide,1.7231638418079096,1.4602272727272727
64,wide,1.3565459610027855,1.2262569832402235
128,wide,1.1760660247592847,1.1115702479338843
512,wide,1.0435369557880527,1.027346387575962
1024,wide,1.0298260149130074,1.0134239310573416
8192,wide,1.0101814697251004,1.002695148732282
32,array,1.9078014184397163,2.35
64,array,1.4555160142348755,1.675
128,array,1.243809523809524,1.3616071428571428
512,array,1.0625909752547307,1.09375
1024,array,1.0327328089317431,1.0490314769975786
8192,array,1.0059395062999965,1.006318616223047
