payload_size,structure,rest_framing_pct,rest_encoding_pct,rest_total_pct,grpc_framing_pct,grpc_encoding_pct,grpc_total_pct
32,flat,396.8750,140.6250,537.5000,253.1250,137.5000,390.6250
64,flat,200.0000,70.3125,270.3125,126.5625,68.7500,195.3125
128,flat,100.0000,35.1562,135.1562,63.2812,34.3750,97.6562
512,flat,25.0000,8.7891,33.7891,15.8203,10.1562,25.9766
1024,flat,12.5977,4.3945,16.9922,7.9102,5.0781,12.9883
8192,flat,1.5747,0.5493,2.1240,0.9888,0.6348,1.6235
32,nested,400.0000,443.7500,843.7500,253.1250,100.0000,353.1250
64,nested,200.0000,425.0000,625.0000,126.5625,100.0000,226.5625
128,nested,100.0000,435.9375,535.9375,63.2812,100.7812,164.0625
512,nested,25.1953,433.9844,459.1797,15.8203,100.9766,116.7969
1024,nested,17.0898,432.8125,449.9023,7.8125,100.8789,108.6914
8192,nested,2.0874,433.3740,435.4614,1.2573,100.9399,102.1973
32,wide,400.0000,453.1250,853.1250,253.1250,450.0000,703.1250
64,wide,200.0000,460.9375,660.9375,126.5625,459.3750,585.9375
128,wide,100.0000,467.9688,567.9688,63.2812,467.1875,530.4688
512,wide,25.1953,478.7109,503.9062,15.8203,478.5156,494.3359
1024,wide,17.5781,489.3555,506.9336,7.9102,489.2578,497.1680
8192,wide,6.2256,511.4624,517.6880,1.6479,511.4502,513.0981
32,array,400.0000,340.6250,740.6250,253.1250,87.5000,340.6250
64,array,200.0000,339.0625,539.0625,126.5625,87.5000,214.0625
128,array,100.0000,310.1562,410.1562,63.2812,75.0000,138.2812
512,array,25.1953,302.5391,327.7344,15.8203,68.7500,84.5703
1024,array,12.5977,284.8633,297.4609,7.9102,61.3281,69.2383
8192,array,2.1118,255.5542,257.6660,0.9766,54.5532,55.5298
