payload_size,structure,rest_O1,grpc_O1
32,flat,6.53125,4.90625
64,flat,3.78125,2.953125
128,flat,2.390625,1.9765625
512,flat,1.34765625,1.259765625
1024,flat,1.1748046875,1.1298828125
8192,flat,1.0218505859375,1.0162353515625
32,nested,9.59375,4.53125
64,nested,7.328125,3.265625
128,nested,6.3984375,2.640625
512,nested,5.6015625,2.16796875
1024,nested,5.458984375,2.087890625
8192,nested,5.3502197265625,2.02197265625
32,wide,9.6875,8.03125
64,wide,7.6875,6.859375
128,wide,6.71875,6.3046875
512,wide,6.048828125,5.943359375
1024,wide,6.0244140625,5.9716796875
8192,wide,6.131103515625,6.1309814453125
32,array,8.5625,4.40625
64,array,6.46875,3.140625
128,array,5.140625,2.3828125
512,array,4.287109375,1.845703125
1024,array,3.9794921875,1.6923828125
8192,array,3.572021484375,1.555419921875
