payload_size,structure,rest_O3_mean_us,rest_O3_std_us,grpc_O3_mean_us,grpc_O3_std_us
32,flat,6.29,4.25,1.49,0.92
64,flat,6.06,8.07,1.53,1.03
128,flat,8.04,5.14,1.55,0.84
512,flat,11.28,7.31,1.88,1.41
1024,flat,16.42,9.93,2.19,1.80
8192,flat,41.97,16.68,5.72,5.06
32,nested,15.62,10.96,2.33,3.91
64,nested,18.93,11.92,3.73,2.59
128,nested,36.02,24.55,6.49,7.66
512,nested,91.19,36.16,23.84,17.45
1024,nested,150.50,57.56,46.75,25.99
8192,nested,1161.48,263.15,323.38,124.02
32,wide,11.41,6.27,2.53,4.69
64,wide,17.25,13.19,4.37,6.03
128,wide,31.07,18.60,7.25,6.07
512,wide,64.14,30.78,25.55,18.30
1024,wide,113.14,49.14,52.07,29.10
8192,wide,937.63,220.71,358.82,127.99
32,array,16.58,11.16,1.78,2.27
64,array,25.93,22.06,3.05,3.14
128,array,38.99,24.63,4.92,6.32
512,array,82.52,37.39,14.19,8.51
1024,array,139.50,51.83,26.69,19.37
8192,array,886.77,180.80,177.71,83.02
