payload_size,wire_bytes,header_bytes,body_bytes
1024,2229,164,2065
128,421,164,257
32,229,164,65
512,1191,164,1027
524288,104961,100,104861
64,293,164,129
65536,10187,355,9832
8192,15074,149,14925
array,3472,165,3307
array,615,164,451
array,287,164,123
array,1895,164,1731
array,407,164,243
array,24853,160,24693
flat,2319,164,2155
flat,511,164,347
flat,319,164,155
flat,1295,164,1131
flat,383,164,219
flat,14990,148,14842
nested,4175,160,4015
nested,681,164,517
nested,295,164,131
nested,2226,165,2061
nested,423,164,259
nested,29821,188,29633
wide,9545,129,9416
wide,1619,164,1455
wide,519,164,355
wide,4447,120,4327
wide,883,164,719
wide,95433,258,95175
