payload_size,wire_bytes,header_bytes,body_bytes
1024,2336,259,2077
128,541,256,285
32,347,254,93
512,1309,256,1053
524288,104887,26,104861
64,411,254,157
65536,10220,387,9833
8192,15256,237,15019
array,4985,158,4827
array,1337,257,1080
array,567,256,311
array,4411,259,4152
array,849,257,592
array,56246,292,55954
flat,2426,259,2167
flat,631,256,375
flat,438,255,183
flat,1399,256,1143
flat,503,256,247
flat,15211,275,14936
nested,10012,273,9739
nested,1659,257,1402
nested,633,256,377
nested,4951,223,4728
nested,959,257,702
nested,86845,300,86545
wide,10053,251,9802
wide,1741,257,1484
wide,639,256,383
wide,4972,207,4765
wide,1004,257,747
wide,97829,622,97207
