iteration,client_ns,server_ns,total_ns
0,0,709,709
1,0,417,417
2,0,375,375
3,0,376,376
4,0,251,251
5,0,209,209
6,0,292,292
7,0,250,250
8,0,1375,1375
9,0,374,374
10,0,250,250
11,0,167,167
12,0,208,208
13,0,209,209
14,0,417,417
15,0,208,208
16,0,167,167
17,0,333,333
18,0,250,250
19,0,166,166
0,0,751,751
1,0,333,333
2,0,291,291
3,0,292,292
4,0,250,250
5,0,334,334
6,0,209,209
7,0,501,501
8,0,209,209
9,0,250,250
10,0,292,292
11,0,250,250
12,0,166,166
13,0,250,250
14,0,250,250
15,0,208,208
16,0,250,250
17,0,250,250
18,0,250,250
19,0,250,250
0,0,624,624
1,0,375,375
2,0,1208,1208
3,0,458,458
4,0,374,374
5,0,209,209
6,0,291,291
7,0,332,332
8,0,166,166
9,0,208,208
10,0,250,250
11,0,209,209
12,0,208,208
13,0,332,332
14,0,250,250
15,0,208,208
16,0,291,291
17,0,208,208
18,0,250,250
19,0,166,166
0,0,666,666
1,0,749,749
2,0,416,416
3,0,332,332
4,0,291,291
5,0,375,375
6,0,625,625
7,0,250,250
8,0,250,250
9,0,250,250
10,0,250,250
11,0,166,166
12,0,291,291
13,0,166,166
14,0,958,958
15,0,250,250
16,0,167,167
17,0,250,250
18,0,292,292
19,0,250,250
0,0,749,749
1,0,459,459
2,0,250,250
3,0,292,292
4,0,625,625
5,0,333,333
6,0,1167,1167
7,0,917,917
8,0,834,834
9,0,333,333
10,0,458,458
11,0,375,375
12,0,417,417
13,0,250,250
14,0,459,459
15,0,250,250
16,0,332,332
17,0,750,750
18,0,291,291
19,0,250,250
0,0,1126,1126
1,0,1083,1083
2,0,875,875
3,0,1166,1166
4,0,1167,1167
5,0,1000,1000
6,0,1125,1125
7,0,1166,1166
8,0,792,792
9,0,1125,1125
10,0,1292,1292
11,0,1041,1041
12,0,833,833
13,0,917,917
14,0,1000,1000
15,0,876,876
16,0,1209,1209
17,0,1000,1000
18,0,1417,1417
19,0,1250,1250
0,0,16417,16417
1,0,4917,4917
2,0,5333,5333
3,0,4125,4125
4,0,13000,13000
5,0,11042,11042
6,0,3875,3875
7,0,3667,3667
8,0,59250,59250
9,0,3916,3916
10,0,3624,3624
11,0,32917,32917
12,0,3876,3876
13,0,3334,3334
14,0,4959,4959
15,0,4874,4874
16,0,3667,3667
17,0,4667,4667
18,0,4583,4583
19,0,3709,3709
0,0,66668,66668
1,0,84416,84416
2,0,28708,28708
3,0,144459,144459
4,0,64333,64333
5,0,28499,28499
6,0,141125,141125
7,0,28500,28500
8,0,43958,43958
9,0,28917,28917
10,0,57709,57709
11,0,28083,28083
12,0,114126,114126
13,0,30833,30833
14,0,75751,75751
15,0,28042,28042
16,0,94208,94208
17,0,27791,27791
18,0,56249,56249
19,0,63749,63749
