iteration,client_ns,server_ns,total_ns
0,0,140000,140000
1,0,667,667
2,0,584,584
3,0,500,500
4,0,292,292
5,0,375,375
6,0,1582,1582
7,0,292,292
8,0,458,458
9,0,208,208
10,0,291,291
11,0,209,209
12,0,208,208
13,0,208,208
14,0,374,374
15,0,334,334
16,0,208,208
17,0,208,208
18,0,208,208
19,0,333,333
0,0,832,832
1,0,332,332
2,0,291,291
3,0,458,458
4,0,374,374
5,0,374,374
6,0,291,291
7,0,334,334
8,0,292,292
9,0,250,250
10,0,458,458
11,0,250,250
12,0,250,250
13,0,249,249
14,0,250,250
15,0,291,291
16,0,292,292
17,0,250,250
18,0,251,251
19,0,208,208
0,0,833,833
1,0,501,501
2,0,417,417
3,0,458,458
4,0,458,458
5,0,416,416
6,0,250,250
7,0,458,458
8,0,334,334
9,0,458,458
10,0,417,417
11,0,375,375
12,0,416,416
13,0,333,333
14,0,292,292
15,0,292,292
16,0,374,374
17,0,750,750
18,0,250,250
19,0,334,334
0,0,625,625
1,0,417,417
2,0,292,292
3,0,626,626
4,0,459,459
5,0,1292,1292
6,0,1000,1000
7,0,417,417
8,0,291,291
9,0,291,291
10,0,2416,2416
11,0,751,751
12,0,291,291
13,0,333,333
14,0,208,208
15,0,333,333
16,0,334,334
17,0,291,291
18,0,292,292
19,0,874,874
0,0,1250,1250
1,0,5250,5250
2,0,584,584
3,0,333,333
4,0,542,542
5,0,376,376
6,0,416,416
7,0,2042,2042
8,0,332,332
9,0,374,374
10,0,1542,1542
11,0,292,292
12,0,542,542
13,0,334,334
14,0,292,292
15,0,458,458
16,0,250,250
17,0,334,334
18,0,1709,1709
19,0,250,250
0,0,1500,1500
1,0,1750,1750
2,0,3875,3875
3,0,1251,1251
4,0,2417,2417
5,0,1292,1292
6,0,4333,4333
7,0,2666,2666
8,0,791,791
9,0,1042,1042
10,0,1918,1918
11,0,1667,1667
12,0,1001,1001
13,0,959,959
14,0,3250,3250
15,0,3124,3124
16,0,834,834
17,0,875,875
18,0,833,833
19,0,1751,1751
0,0,7250,7250
1,0,5874,5874
2,0,3874,3874
3,0,9125,9125
4,0,4792,4792
5,0,57625,57625
6,0,4001,4001
7,0,3541,3541
8,0,3375,3375
9,0,6209,6209
10,0,12376,12376
11,0,6833,6833
12,0,9959,9959
13,0,10249,10249
14,0,9292,9292
15,0,8084,8084
16,0,11042,11042
17,0,4625,4625
18,0,4208,4208
19,0,3376,3376
0,0,155957,155957
1,0,60291,60291
2,0,124291,124291
3,0,79750,79750
4,0,41583,41583
5,0,73541,73541
6,0,27124,27124
7,0,63749,63749
8,0,27251,27251
9,0,28000,28000
10,0,166167,166167
11,0,51875,51875
12,0,55417,55417
13,0,95376,95376
14,0,50833,50833
15,0,125416,125416
16,0,63292,63292
17,0,26541,26541
18,0,27167,27167
19,0,28667,28667
