iteration,client_ns,server_ns,total_ns
0,0,624,624
1,0,500,500
2,0,375,375
3,0,500,500
4,0,292,292
5,0,250,250
6,0,333,333
7,0,291,291
8,0,168,168
9,0,166,166
10,0,250,250
11,0,250,250
12,0,208,208
13,0,542,542
14,0,250,250
15,0,250,250
16,0,250,250
17,0,209,209
18,0,167,167
19,0,250,250
0,0,1208,1208
1,0,749,749
2,0,417,417
3,0,542,542
4,0,1250,1250
5,0,667,667
6,0,250,250
7,0,375,375
8,0,375,375
9,0,1583,1583
10,0,333,333
11,0,374,374
12,0,416,416
13,0,1333,1333
14,0,292,292
15,0,416,416
16,0,1042,1042
17,0,1666,1666
18,0,1041,1041
19,0,291,291
0,0,876,876
1,0,542,542
2,0,500,500
3,0,374,374
4,0,376,376
5,0,3292,3292
6,0,541,541
7,0,1457,1457
8,0,334,334
9,0,543,543
10,0,459,459
11,0,292,292
12,0,291,291
13,0,416,416
14,0,292,292
15,0,417,417
16,0,334,334
17,0,332,332
18,0,250,250
19,0,292,292
0,0,4834,4834
1,0,2708,2708
2,0,1667,1667
3,0,1166,1166
4,0,1334,1334
5,0,1000,1000
6,0,1084,1084
7,0,1292,1292
8,0,833,833
9,0,1209,1209
10,0,1458,1458
11,0,1292,1292
12,0,1167,1167
13,0,1125,1125
14,0,876,876
15,0,1583,1583
16,0,1167,1167
17,0,2250,2250
18,0,1334,1334
19,0,1458,1458
0,0,10709,10709
1,0,30083,30083
2,0,4708,4708
3,0,17459,17459
4,0,4624,4624
5,0,3333,3333
6,0,4084,4084
7,0,3417,3417
8,0,9250,9250
9,0,3458,3458
10,0,3916,3916
11,0,3709,3709
12,0,3541,3541
13,0,5042,5042
14,0,4208,4208
15,0,3626,3626
16,0,4000,4000
17,0,3626,3626
18,0,3625,3625
19,0,6834,6834
0,0,191291,191291
1,0,60541,60541
2,0,132541,132541
3,0,47166,47166
4,0,55583,55583
5,0,45166,45166
6,0,27375,27375
7,0,26750,26750
8,0,162292,162292
9,0,135166,135166
10,0,128583,128583
11,0,52666,52666
12,0,55125,55125
13,0,28917,28917
14,0,25833,25833
15,0,28291,28291
16,0,24666,24666
17,0,103834,103834
18,0,101166,101166
19,0,27000,27000
