iteration,client_ns,server_ns,total_ns
0,0,750,750
1,0,458,458
2,0,334,334
3,0,208,208
4,0,292,292
5,0,250,250
6,0,1084,1084
7,0,417,417
8,0,208,208
9,0,374,374
10,0,167,167
11,0,208,208
12,0,166,166
13,0,292,292
14,0,166,166
15,0,167,167
16,0,250,250
17,0,166,166
18,0,208,208
19,0,125,125
0,0,750,750
1,0,626,626
2,0,667,667
3,0,375,375
4,0,458,458
5,0,333,333
6,0,334,334
7,0,707,707
8,0,457,457
9,0,2332,2332
10,0,417,417
11,0,374,374
12,0,333,333
13,0,250,250
14,0,957,957
15,0,292,292
16,0,417,417
17,0,250,250
18,0,417,417
19,0,333,333
0,0,1458,1458
1,0,1750,1750
2,0,1459,1459
3,0,667,667
4,0,584,584
5,0,291,291
6,0,417,417
7,0,542,542
8,0,375,375
9,0,1251,1251
10,0,374,374
11,0,624,624
12,0,1250,1250
13,0,417,417
14,0,459,459
15,0,708,708
16,0,500,500
17,0,874,874
18,0,292,292
19,0,292,292
0,0,1209,1209
1,0,17625,17625
2,0,625,625
3,0,1292,1292
4,0,1167,1167
5,0,834,834
6,0,2041,2041
7,0,709,709
8,0,875,875
9,0,708,708
10,0,1041,1041
11,0,1292,1292
12,0,1250,1250
13,0,791,791
14,0,792,792
15,0,792,792
16,0,584,584
17,0,1041,1041
18,0,792,792
19,0,1417,1417
0,0,5084,5084
1,0,57375,57375
2,0,3834,3834
3,0,52292,52292
4,0,3584,3584
5,0,3958,3958
6,0,5125,5125
7,0,4417,4417
8,0,48333,48333
9,0,4541,4541
10,0,3917,3917
11,0,3959,3959
12,0,4541,4541
13,0,53375,53375
14,0,4084,4084
15,0,3666,3666
16,0,4208,4208
17,0,4417,4417
18,0,7250,7250
19,0,5001,5001
0,0,68375,68375
1,0,30334,30334
2,0,52124,52124
3,0,33750,33750
4,0,83332,83332
5,0,168250,168250
6,0,69583,69583
7,0,34167,34167
8,0,29959,29959
9,0,50001,50001
10,0,50083,50083
11,0,31500,31500
12,0,30167,30167
13,0,32334,32334
14,0,161000,161000
15,0,208667,208667
16,0,182209,182209
17,0,134082,134082
18,0,49751,49751
19,0,30167,30167
