iteration,client_ns,server_ns,total_ns
0,0,29416,29416
1,0,9084,9084
2,0,6292,6292
3,0,10291,10291
4,0,5333,5333
5,0,7583,7583
6,0,4918,4918
7,0,4875,4875
8,0,5333,5333
9,0,5417,5417
10,0,4667,4667
11,0,5209,5209
12,0,4500,4500
13,0,5000,5000
14,0,4833,4833
15,0,4041,4041
16,0,4459,4459
17,0,4958,4958
18,0,5292,5292
19,0,4542,4542
0,0,26458,26458
1,0,11417,11417
2,0,14749,14749
3,0,11000,11000
4,0,9708,9708
5,0,8875,8875
6,0,9041,9041
7,0,8541,8541
8,0,9083,9083
9,0,8833,8833
10,0,8543,8543
11,0,8167,8167
12,0,7876,7876
13,0,9667,9667
14,0,8000,8000
15,0,8791,8791
16,0,6792,6792
17,0,10458,10458
18,0,8750,8750
19,0,8042,8042
0,0,30166,30166
1,0,18292,18292
2,0,18417,18417
3,0,15125,15125
4,0,15708,15708
5,0,15457,15457
6,0,14000,14000
7,0,18750,18750
8,0,15501,15501
9,0,17249,17249
10,0,14041,14041
11,0,15166,15166
12,0,15459,15459
13,0,15166,15166
14,0,14792,14792
15,0,14458,14458
16,0,12041,12041
17,0,13041,13041
18,0,13750,13750
19,0,16959,16959
0,0,61500,61500
1,0,45208,45208
2,0,48708,48708
3,0,45416,45416
4,0,53333,53333
5,0,51834,51834
6,0,48916,48916
7,0,49333,49333
8,0,45208,45208
9,0,44584,44584
10,0,44083,44083
11,0,50375,50375
12,0,50542,50542
13,0,45209,45209
14,0,46000,46000
15,0,47917,47917
16,0,41043,41043
17,0,49418,49418
18,0,48791,48791
19,0,53876,53876
0,0,111709,111709
1,0,277834,277834
2,0,82291,82291
3,0,83292,83292
4,0,78917,78917
5,0,81208,81208
6,0,76124,76124
7,0,76208,76208
8,0,76833,76833
9,0,81333,81333
10,0,77584,77584
11,0,79917,79917
12,0,76791,76791
13,0,87417,87417
14,0,93084,93084
15,0,84541,84541
16,0,83167,83167
17,0,92958,92958
18,0,87208,87208
19,0,88042,88042
0,0,704334,704334
1,0,483833,483833
2,0,496375,496375
3,0,480624,480624
4,0,531708,531708
5,0,634042,634042
6,0,491459,491459
7,0,513750,513750
8,0,497208,497208
9,0,492791,492791
10,0,619958,619958
11,0,505833,505833
12,0,654208,654208
13,0,508834,508834
14,0,506416,506416
15,0,661666,661666
16,0,483124,483124
17,0,625541,625541
18,0,523584,523584
19,0,493917,493917
