iteration,client_ns,server_ns,total_ns
0,0,51416,51416
1,0,3416,3416
2,0,3500,3500
3,0,1418,1418
4,0,3166,3166
5,0,1791,1791
6,0,1416,1416
7,0,1167,1167
8,0,1125,1125
9,0,1083,1083
10,0,1041,1041
11,0,958,958
12,0,1041,1041
13,0,917,917
14,0,917,917
15,0,3417,3417
16,0,1083,1083
17,0,1417,1417
18,0,1250,1250
19,0,1291,1291
0,0,68000,68000
1,0,12083,12083
2,0,5292,5292
3,0,4208,4208
4,0,2876,2876
5,0,2958,2958
6,0,2292,2292
7,0,3333,3333
8,0,2209,2209
9,0,2874,2874
10,0,2083,2083
11,0,2584,2584
12,0,5251,5251
13,0,2208,2208
14,0,2291,2291
15,0,2499,2499
16,0,2625,2625
17,0,2458,2458
18,0,4042,4042
19,0,2458,2458
0,0,42875,42875
1,0,6208,6208
2,0,8251,8251
3,0,17959,17959
4,0,4333,4333
5,0,3417,3417
6,0,3333,3333
7,0,3125,3125
8,0,5292,5292
9,0,3751,3751
10,0,6542,6542
11,0,8166,8166
12,0,3250,3250
13,0,11251,11251
14,0,4666,4666
15,0,3750,3750
16,0,4667,4667
17,0,3041,3041
18,0,4458,4458
19,0,2667,2667
0,0,45082,45082
1,0,10250,10250
2,0,15000,15000
3,0,7167,7167
4,0,9125,9125
5,0,7084,7084
6,0,5708,5708
7,0,6292,6292
8,0,5875,5875
9,0,6250,6250
10,0,11375,11375
11,0,5625,5625
12,0,9875,9875
13,0,6292,6292
14,0,6124,6124
15,0,6084,6084
16,0,24166,24166
17,0,6999,6999
18,0,5584,5584
19,0,6376,6376
0,0,24417,24417
1,0,11501,11501
2,0,12084,12084
3,0,8458,8458
4,0,8584,8584
5,0,8167,8167
6,0,11000,11000
7,0,10751,10751
8,0,8500,8500
9,0,9500,9500
10,0,8709,8709
11,0,8500,8500
12,0,8208,8208
13,0,8625,8625
14,0,12958,12958
15,0,11125,11125
16,0,10583,10583
17,0,9167,9167
18,0,8417,8417
19,0,8209,8209
0,0,68166,68166
1,0,54166,54166
2,0,48625,48625
3,0,48958,48958
4,0,50750,50750
5,0,44374,44374
6,0,43999,43999
7,0,45792,45792
8,0,44084,44084
9,0,44291,44291
10,0,44584,44584
11,0,43083,43083
12,0,44750,44750
13,0,45250,45250
14,0,43749,43749
15,0,47041,47041
16,0,90251,90251
17,0,45209,45209
18,0,46584,46584
19,0,45291,45291
0,0,279875,279875
1,0,281293,281293
2,0,329542,329542
3,0,256875,256875
4,0,246375,246375
5,0,242084,242084
6,0,248501,248501
7,0,263499,263499
8,0,260000,260000
9,0,324000,324000
10,0,261916,261916
11,0,250750,250750
12,0,244583,244583
13,0,263958,263958
14,0,237333,237333
15,0,240834,240834
16,0,270375,270375
17,0,357334,357334
18,0,243583,243583
19,0,256416,256416
0,0,2333375,2333375
1,0,2158417,2158417
2,0,2101374,2101374
3,0,2106917,2106917
4,0,2134208,2134208
5,0,2157499,2157499
6,0,2088834,2088834
7,0,2136708,2136708
8,0,2144749,2144749
9,0,2074500,2074500
10,0,2168042,2168042
11,0,2122333,2122333
12,0,2122917,2122917
13,0,2125458,2125458
14,0,2140666,2140666
15,0,2132416,2132416
16,0,2163375,2163375
17,0,2164999,2164999
18,0,2023875,2023875
19,0,2007917,2007917
