iteration,client_ns,server_ns,total_ns
0,0,30708,30708
1,0,9250,9250
2,0,8083,8083
3,0,7958,7958
4,0,7041,7041
5,0,5166,5166
6,0,5208,5208
7,0,84875,84875
8,0,13500,13500
9,0,6291,6291
10,0,5833,5833
11,0,6375,6375
12,0,6834,6834
13,0,4751,4751
14,0,4166,4166
15,0,4917,4917
16,0,5792,5792
17,0,8292,8292
18,0,5083,5083
19,0,5125,5125
0,0,77958,77958
1,0,15208,15208
2,0,19291,19291
3,0,15333,15333
4,0,11875,11875
5,0,10584,10584
6,0,10667,10667
7,0,13501,13501
8,0,13751,13751
9,0,12000,12000
10,0,10167,10167
11,0,8375,8375
12,0,10376,10376
13,0,8583,8583
14,0,9625,9625
15,0,9916,9916
16,0,12042,12042
17,0,7291,7291
18,0,7625,7625
19,0,7166,7166
0,0,44958,44958
1,0,13376,13376
2,0,11458,11458
3,0,15083,15083
4,0,10166,10166
5,0,9791,9791
6,0,8291,8291
7,0,9292,9292
8,0,10708,10708
9,0,8709,8709
10,0,8667,8667
11,0,9542,9542
12,0,10124,10124
13,0,8459,8459
14,0,9083,9083
15,0,8459,8459
16,0,8709,8709
17,0,8667,8667
18,0,9459,9459
19,0,8833,8833
0,0,78459,78459
1,0,52084,52084
2,0,49875,49875
3,0,50416,50416
4,0,46251,46251
5,0,46751,46751
6,0,46666,46666
7,0,49332,49332
8,0,52833,52833
9,0,46584,46584
10,0,46417,46417
11,0,46876,46876
12,0,46543,46543
13,0,55083,55083
14,0,45126,45126
15,0,47416,47416
16,0,47583,47583
17,0,45750,45750
18,0,47043,47043
19,0,43584,43584
0,0,476334,476334
1,0,275416,275416
2,0,267791,267791
3,0,264209,264209
4,0,265333,265333
5,0,270875,270875
6,0,264292,264292
7,0,271041,271041
8,0,290167,290167
9,0,268542,268542
10,0,268041,268041
11,0,261124,261124
12,0,268917,268917
13,0,270543,270543
14,0,290708,290708
15,0,260001,260001
16,0,261000,261000
17,0,260208,260208
18,0,265709,265709
19,0,259500,259500
0,0,2165749,2165749
1,0,2172583,2172583
2,0,2020208,2020208
3,0,2123209,2123209
4,0,2163209,2163209
5,0,2146001,2146001
6,0,2167793,2167793
7,0,2139584,2139584
8,0,2212916,2212916
9,0,2151709,2151709
10,0,2038000,2038000
11,0,2080666,2080666
12,0,2160917,2160917
13,0,2082041,2082041
14,0,2170417,2170417
15,0,2175666,2175666
16,0,2140416,2140416
17,0,2132124,2132124
18,0,2025459,2025459
19,0,2166625,2166625
